T_Y,Y_M,Country,Cases
99,2010-1,日本(Japan),92832
99,2010-2,日本(Japan),107985
99,2010-3,日本(Japan),91243
99,2010-4,日本(Japan),112939
99,2010-5,日本(Japan),124151
99,2010-6,日本(Japan),126779
99,2010-7,日本(Japan),165949
99,2010-8,日本(Japan),132060
99,2010-9,日本(Japan),117009
99,2010-10,日本(Japan),120290
99,2010-11,日本(Japan),97209
99,2010-12,日本(Japan),89511
100,2011-1,日本(Japan),109762
100,2011-2,日本(Japan),98987
100,2011-3,日本(Japan),47959
100,2011-4,日本(Japan),47144
100,2011-5,日本(Japan),82194
100,2011-6,日本(Japan),102905
100,2011-7,日本(Japan),137475
100,2011-8,日本(Japan),118112
100,2011-9,日本(Japan),100627
100,2011-10,日本(Japan),118433
100,2011-11,日本(Japan),90235
100,2011-12,日本(Japan),82561
101,2012-1,日本(Japan),133945
101,2012-2,日本(Japan),90318
101,2012-3,日本(Japan),94258
101,2012-4,日本(Japan),143550
101,2012-5,日本(Japan),132010
101,2012-6,日本(Japan),137292
101,2012-7,日本(Japan),166674
101,2012-8,日本(Japan),141957
101,2012-9,日本(Japan),124637
101,2012-10,日本(Japan),142486
101,2012-11,日本(Japan),132920
101,2012-12,日本(Japan),120253
102,2013-1,日本(Japan),128322
102,2013-2,日本(Japan),166278
102,2013-3,日本(Japan),157345
102,2013-4,日本(Japan),203211
102,2013-5,日本(Japan),207335
102,2013-6,日本(Japan),246734
102,2013-7,日本(Japan),254001
102,2013-8,日本(Japan),213804
102,2013-9,日本(Japan),217611
102,2013-10,日本(Japan),217798
102,2013-11,日本(Japan),180498
102,2013-12,日本(Japan),153070
103,2014-1,日本(Japan),210834
103,2014-2,日本(Japan),201225
103,2014-3,日本(Japan),219857
103,2014-4,日本(Japan),270335
103,2014-5,日本(Japan),294242
103,2014-6,日本(Japan),271059
103,2014-7,日本(Japan),297662
103,2014-8,日本(Japan),247161
103,2014-9,日本(Japan),231246
103,2014-10,日本(Japan),270304
103,2014-11,日本(Japan),241429
103,2014-12,日本(Japan),216492
104,2015-1,日本(Japan),225116
104,2015-2,日本(Japan),283635
104,2015-3,日本(Japan),285122
104,2015-4,日本(Japan),346365
104,2015-5,日本(Japan),352263
104,2015-6,日本(Japan),356669
104,2015-7,日本(Japan),374662
104,2015-8,日本(Japan),326325
104,2015-9,日本(Japan),313415
104,2015-10,日本(Japan),351495
104,2015-11,日本(Japan),307177
104,2015-12,日本(Japan),275635
105,2016-1,日本(Japan),331876
105,2016-2,日本(Japan),359908
105,2016-3,日本(Japan),341162
105,2016-4,日本(Japan),394630
105,2016-5,日本(Japan),391554
105,2016-6,日本(Japan),410889
105,2016-7,日本(Japan),409644
105,2016-8,日本(Japan),345359
105,2016-9,日本(Japan),354621
105,2016-10,日本(Japan),359875
105,2016-11,日本(Japan),310510
105,2016-12,日本(Japan),285212
106,2017-1,日本(Japan),347036
106,2017-2,日本(Japan),349758
106,2017-3,日本(Japan),351362
106,2017-4,日本(Japan),419923
106,2017-5,日本(Japan),412299
106,2017-6,日本(Japan),441965
106,2017-7,日本(Japan),448171
