Y_M,Country,Cases,YMD
2010-10,Philippines,0,2010-10-01
2010-10,Qatar,0,2010-10-01
2010-10,Republic of Korea,1,2010-10-01
2010-10,Singapore,34,2010-10-01
2010-10,Sri Lanka,33,2010-10-01
2010-10,Syrian Arab Republic,0,2010-10-01
2010-10,Thailand,106,2010-10-01
2010-10,Turkey,0,2010-10-01
2010-10,Viet Nam,8,2010-10-01
2010-11,Afghanistan,0,2010-11-01
2010-11,Armenia,0,2010-11-01
2010-11,Azerbaijan,0,2010-11-01
2010-11,Bahrain,0,2010-11-01
2010-11,Bangladesh,0,2010-11-01
2010-11,Bhutan,0,2010-11-01
2010-11,Cambodia,47,2010-11-01
2010-11,China,72,2010-11-01
2010-11,Georgia,1,2010-11-01
2010-11,India,3,2010-11-01
2010-11,Indonesia,21,2010-11-01
2010-11,Iran (Islamic Republic of),0,2010-11-01
2010-11,Iraq,0,2010-11-01
2010-11,Israel,3,2010-11-01
2010-11,Japan,133,2010-11-01
2010-11,Jordan,0,2010-11-01
2010-11,Kazakhstan,0,2010-11-01
2010-11,Kyrgyzstan,0,2010-11-01
2010-11,Lao People's Democratic Republic,19,2010-11-01
2010-11,Malaysia,2,2010-11-01
2010-11,Mongolia,0,2010-11-01
2010-11,Nepal,0,2010-11-01
2010-11,Oman,42,2010-11-01
2010-11,Pakistan,5,2010-11-01
2010-11,Philippines,1,2010-11-01
2010-11,Qatar,0,2010-11-01
2010-11,Republic of Korea,55,2010-11-01
2010-11,Singapore,30,2010-11-01
2010-11,Sri Lanka,179,2010-11-01
2010-11,Syrian Arab Republic,0,2010-11-01
2010-11,Thailand,12,2010-11-01
2010-11,Turkey,0,2010-11-01
2010-11,Viet Nam,7,2010-11-01
2010-12,Afghanistan,0,2010-12-01
2010-12,Armenia,0,2010-12-01
2010-12,Azerbaijan,0,2010-12-01
2010-12,Bahrain,0,2010-12-01
2010-12,Bangladesh,0,2010-12-01
2010-12,Bhutan,0,2010-12-01
2010-12,Cambodia,13,2010-12-01
2010-12,China,394,2010-12-01
2010-12,Georgia,2,2010-12-01
2010-12,India,0,2010-12-01
2010-12,Indonesia,30,2010-12-01
2010-12,Iran (Islamic Republic of),184,2010-12-01
2010-12,Iraq,4,2010-12-01
2010-12,Israel,76,2010-12-01
2010-12,Japan,770,2010-12-01
2010-12,Jordan,2,2010-12-01
2010-12,Kazakhstan,0,2010-12-01
2010-12,Kyrgyzstan,0,2010-12-01
2010-12,Lao People's Democratic Republic,4,2010-12-01
2010-12,Malaysia,15,2010-12-01
2010-12,Mongolia,0,2010-12-01
2010-12,Nepal,0,2010-12-01
2010-12,Oman,40,2010-12-01
2010-12,Pakistan,44,2010-12-01
2010-12,Philippines,0,2010-12-01
2010-12,Qatar,0,2010-12-01
2010-12,Republic of Korea,866,2010-12-01
2010-12,Singapore,45,2010-12-01
2010-12,Sri Lanka,277,2010-12-01
2010-12,Syrian Arab Republic,0,2010-12-01
2010-12,Thailand,3,2010-12-01
2010-12,Turkey,11,2010-12-01
2010-12,Viet Nam,23,2010-12-01
2010-2,Afghanistan,0,2010-02-01
2010-2,Armenia,0,2010-02-01
2010-2,Azerbaijan,0,2010-02-01
2010-2,Bahrain,0,2010-02-01
2010-2,Bangladesh,4,2010-02-01
2010-2,Bhutan,0,2010-02-01
2010-2,Cambodia,4,2010-02-01
2010-2,China,652,2010-02-01
2010-2,Georgia,16,2010-02-01
2010-2,India,457,2010-02-01
2010-2,Indonesia,0,2010-02-01
2010-2,Iran (Islamic Republic of),10,2010-02-01
2010-2,Iraq,0,2010-02-01
2010-2,Israel,25,2010-02-01
2010-2,Japan,1022,2010-02-01
2010-2,Jordan,0,2010-02-01
2010-2,Kazakhstan,0,2010-02-01
2010-2,Kyrgyzstan,0,2010-02-01
2010-2,Lao People's Democratic Republic,0,2010-02-01
2010-2,Malaysia,6,2010-02-01
2010-2,Mongolia,54,2010-02-01
