Y_M,Country,Cases,YMD
2009-12,Cambodia,31,2009-12-01
2009-12,Cameroon,0,2009-12-01
2009-12,Canada,1140,2009-12-01
2009-12,Cape Verde,6,2009-12-01
2009-12,Central African Republic,0,2009-12-01
2009-12,Chile,12,2009-12-01
2009-12,China,0,2009-12-01
2009-12,Colombia,95,2009-12-01
2009-12,Costa Rica,0,2009-12-01
2009-12,Croatia,315,2009-12-01
2009-12,Cuba,10,2009-12-01
2009-12,Czech Republic,326,2009-12-01
2009-12,Democratic Republic of the Congo,0,2009-12-01
2009-12,Denmark,182,2009-12-01
2009-12,Dominican Republic,0,2009-12-01
2009-12,Ecuador,60,2009-12-01
2009-12,Egypt,3315,2009-12-01
2009-12,El Salvador,0,2009-12-01
2009-12,Estonia,406,2009-12-01
2009-12,Ethiopia,0,2009-12-01
2009-12,Fiji,0,2009-12-01
2009-12,Finland,7,2009-12-01
2009-12,France,637,2009-12-01
2009-12,French Guiana,17,2009-12-01
2009-12,Gambia,0,2009-12-01
2009-12,Georgia,765,2009-12-01
2009-12,Germany,301,2009-12-01
2009-12,Ghana,3,2009-12-01
2009-12,Greece,1916,2009-12-01
2009-12,Guadeloupe,12,2009-12-01
2009-12,Guatemala,0,2009-12-01
2009-12,Guinea,0,2009-12-01
2009-12,Guinea-Bissau,0,2009-12-01
2009-12,Honduras,9,2009-12-01
2009-12,Hungary,760,2009-12-01
2009-12,Iceland,0,2009-12-01
2009-12,India,528,2009-12-01
2009-12,Indonesia,0,2009-12-01
2009-12,Iran (Islamic Republic of),515,2009-12-01
2009-12,Iraq,38,2009-12-01
2009-12,Ireland,181,2009-12-01
2009-12,Israel,866,2009-12-01
2009-12,Italy,517,2009-12-01
2009-12,Jamaica,4,2009-12-01
2009-12,Japan,778,2009-12-01
2009-12,Jordan,0,2009-12-01
2009-12,Kazakhstan,0,2009-12-01
2009-12,Kenya,41,2009-12-01
2009-12,Kyrgyzstan,31,2009-12-01
2009-12,Lao People's Democratic Republic,0,2009-12-01
2009-12,Latvia,219,2009-12-01
2009-12,Lithuania,166,2009-12-01
2009-12,Luxembourg,99,2009-12-01
2009-12,Madagascar,165,2009-12-01
2009-12,Malaysia,4,2009-12-01
2009-12,Mali,0,2009-12-01
2009-12,Malta,0,2009-12-01
2009-12,Martinique,0,2009-12-01
2009-12,Mauritania,2,2009-12-01
2009-12,Mauritius,0,2009-12-01
2009-12,Mexico,1855,2009-12-01
2009-12,Mongolia,82,2009-12-01
2009-12,Morocco,742,2009-12-01
2009-12,Mozambique,0,2009-12-01
2009-12,Netherlands,67,2009-12-01
2009-12,New Caledonia,4,2009-12-01
2009-12,New Zealand,0,2009-12-01
2009-12,Nicaragua,0,2009-12-01
2009-12,Niger,0,2009-12-01
2009-12,Nigeria,0,2009-12-01
2009-12,Norway,402,2009-12-01
2009-12,Oman,0,2009-12-01
2009-12,Pakistan,137,2009-12-01
2009-12,Panama,0,2009-12-01
2009-12,Paraguay,1,2009-12-01
2009-12,Peru,0,2009-12-01
2009-12,Philippines,0,2009-12-01
2009-12,Poland,696,2009-12-01
